Mult = 25.8716535 	Temp = b'\n'
Mult = 25.8706627 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129316\n'
Mult = 25.8689588 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129339\n'
Mult = 25.8685368 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129178\n'
Mult = 25.8669374 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129221\n'
Mult = 25.8655846 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129290\n'
Mult = 25.8611414 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129154\n'
Mult = 25.8577956 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129260\n'
Mult = 25.854192 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.128838\n'
Mult = 25.8499441 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129198\n'
Mult = 25.8488253 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129304\n'
Mult = 25.8483467 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129487\n'
Mult = 25.8480862 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.131609\n'
Mult = 25.8475964 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129828\n'
Mult = 25.8468594 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129854\n'
Mult = 25.8485579 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129592\n'
Mult = 25.850878 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129327\n'
Mult = 25.8525748 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129405\n'
Mult = 25.8535792 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129293\n'
Mult = 25.8527927 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129248\n'
Mult = 25.851779 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129048\n'
Mult = 25.8513742 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129321\n'
Mult = 25.8508961 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129165\n'
Mult = 25.8519447 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129250\n'
Mult = 25.8535523 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129559\n'
Mult = 25.8546661 	Temp = b'\r0x7fffff 8388607 2.048000 Temperature = 0.129148\n'
